Title,Price,Availability,Rating (Star)
Modern Romance,28.26,In stock,Five
Miss PeregrineÃ¢Â€Â™s Home for Peculiar Children (Miss PeregrineÃ¢Â€Â™s Peculiar Children #1),10.76,In stock,One
Louisa: The Extraordinary Life of Mrs. Adams,16.85,In stock,Two
Little Red,13.47,In stock,Three
Library of Souls (Miss PeregrineÃ¢Â€Â™s Peculiar Children #3),48.56,In stock,Five
Large Print Heart of the Pride,19.15,In stock,Two
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,In stock,Four
Hollow City (Miss PeregrineÃ¢Â€Â™s Peculiar Children #2),42.98,In stock,One
Grumbles,22.16,In stock,Two
Full Moon over NoahÃ¢Â€Â™s Ark: An Odyssey to Mount Ararat and Beyond,49.43,In stock,Four
Frostbite (Vampire Academy #2),29.99,In stock,Five
Follow You Home,21.36,In stock,One
First Steps for New Christians (Print Edition),29.00,In stock,One
Finders Keepers (Bill Hodges Trilogy #2),53.53,In stock,Five
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,Four
Eureka Trivia 6.0,54.59,In stock,Four
Drive: The Surprising Truth About What Motivates Us,34.95,In stock,Four
Done Rubbed Out (Reightman & Bailey #1),37.72,In stock,Five
Doing It Over (Most Likely To #1),35.61,In stock,Three
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,In stock,Three
